Name,DBID,Status,Link
Amlodipine,DB00381,approved,https://www.drugbank.ca/drugs/DB00381
Bioallethrin,DB13746,"approved, experimental",https://www.drugbank.ca/drugs/DB13746
Gabapentin,DB00996,"approved, investigational",https://www.drugbank.ca/drugs/DB00996
Gabapentin enacarbil,DB08872,"approved, investigational",https://www.drugbank.ca/drugs/DB08872
Felodipine,DB01023,"approved, investigational",https://www.drugbank.ca/drugs/DB01023
Isradipine,DB00270,"approved, investigational",https://www.drugbank.ca/drugs/DB00270
Nitrendipine,DB01054,"approved, investigational",https://www.drugbank.ca/drugs/DB01054
Amiodarone,DB01118,"approved, investigational",https://www.drugbank.ca/drugs/DB01118
Bepridil,DB01244,"approved, withdrawn",https://www.drugbank.ca/drugs/DB01244
Ibutilide,DB00308,approved,https://www.drugbank.ca/drugs/DB00308
Mibefradil,DB01388,"investigational, withdrawn",https://www.drugbank.ca/drugs/DB01388
Magnesium sulfate,DB00653,"approved, investigational, vet_approved",https://www.drugbank.ca/drugs/DB00653
Verapamil,DB00661,approved,https://www.drugbank.ca/drugs/DB00661
Dronedarone,DB04855,approved,https://www.drugbank.ca/drugs/DB04855
Nimodipine,DB00393,"approved, investigational",https://www.drugbank.ca/drugs/DB00393
Ethanol,DB00898,approved,https://www.drugbank.ca/drugs/DB00898
Azelnidipine,DB09230,investigational,https://www.drugbank.ca/drugs/DB09230
Nifedipine,DB01115,approved,https://www.drugbank.ca/drugs/DB01115
Nisoldipine,DB00401,approved,https://www.drugbank.ca/drugs/DB00401
Nicardipine,DB00622,"approved, investigational",https://www.drugbank.ca/drugs/DB00622
Nilvadipine,DB06712,investigational,https://www.drugbank.ca/drugs/DB06712
Cyclandelate,DB04838,approved,https://www.drugbank.ca/drugs/DB04838
Diltiazem,DB00343,"approved, investigational",https://www.drugbank.ca/drugs/DB00343
Lercanidipine,DB00528,"approved, investigational",https://www.drugbank.ca/drugs/DB00528
Fluspirilene,DB04842,"approved, investigational",https://www.drugbank.ca/drugs/DB04842
Contulakin-G,DB05950,investigational,https://www.drugbank.ca/drugs/DB05950
Levetiracetam,DB01202,"approved, investigational",https://www.drugbank.ca/drugs/DB01202
Agmatine,DB08838,"experimental, investigational",https://www.drugbank.ca/drugs/DB08838
Seletracetam,DB05885,investigational,https://www.drugbank.ca/drugs/DB05885
Benidipine,DB09231,experimental,https://www.drugbank.ca/drugs/DB09231
Cilnidipine,DB09232,investigational,https://www.drugbank.ca/drugs/DB09232
Calcium Citrate,DB11093,"approved, investigational",https://www.drugbank.ca/drugs/DB11093
Calcium Phosphate,DB11348,approved,https://www.drugbank.ca/drugs/DB11348
Calcium phosphate dihydrate,DB14481,approved,https://www.drugbank.ca/drugs/DB14481
Trimebutine,DB09089,approved,https://www.drugbank.ca/drugs/DB09089
Manidipine,DB09238,"approved, investigational",https://www.drugbank.ca/drugs/DB09238
Lacidipine,DB09236,"approved, investigational",https://www.drugbank.ca/drugs/DB09236
Fish oil,DB13961,"approved, nutraceutical",https://www.drugbank.ca/drugs/DB13961
Menthol,DB00825,approved,https://www.drugbank.ca/drugs/DB00825
