Name,DBID,Status,Link,Pharmacodynamics
Amlodipine,DB00381,approved,https://www.drugbank.ca/drugs/DB00381,"Amlodipine belongs to the dihydropyridine (DHP) class of calcium channel blockers (CCBs), the most widely used class of CCBs. There are at least five different types of calcium channels in Homo sapiens: L-, N-, P/Q-, R- and T-type. It was widely accepted that DHP CCBs target L-type calcium channels, the major channel in muscle cells that mediate contraction; however, some studies have indicated that amlodipine also binds to and inhibits N-type calcium channels (see references in Targets section). Similar to other DHP CCBs, amlodipine binds directly to inactive L-type calcium channels stabilizing their inactive conformation. Since arterial smooth muscle depolarizations are longer in duration than cardiac muscle depolarizations, inactive channels are more prevalent in smooth muscle cells. Alternative splicing of the alpha-1 subunit of the channel gives amlodipine additional arterial selectivity. At therapeutic sub-toxic concentrations, amlodipine has little effect on cardiac myocytes and conduction cells."
Bioallethrin,DB13746,"approved, experimental",https://www.drugbank.ca/drugs/DB13746,"Bioallethrin, like other pyrethroids, binds to voltage gated sodium channels in their closed state and modifies the gating kinetics [1]. Channel opening appears to increase affinity of the channel for pyrethroids like bioallethrin. Once bound pyrethroids slow both the opening and closing of the sodium channel resulting in a need for stronger excitatory potentials to produce an action potential and a delay in repolarization. The these changes make the neuron more susceptible to large action potentials and repeated firing by both increasing the initial threshold and reducing the input needed for after-potentials. When repeated firing does occur, the nerve terminal will release more neurotransmitter which can produce muscle paralysis through tetanus. This paralysis stops the breathing of lice and scabies parasites resulting in death."
Gabapentin,DB00996,"approved, investigational",https://www.drugbank.ca/drugs/DB00996,"Some pyrethroids act on calcium channels to increase intracelllular calcium [2]. Bioallethrin produces a very small increase in intracellular calcium in mouse neocortical neurons by acting on N-type calcium channels but the effect returns to baseline within 2 min. In contrast bioallethrin has been found to block L T, and P/Q-types of voltage gated calcium channels in human embryonic kidney cell cultures [6]. Bioallethrin has been found to inhibit both sodium-calcium dependent and magnesium-calcium ATP hydrolysis in insects although it, along with other type I pyrethroids, has a greater effect on sodium-calcium dependent hydrolysis [3]. Bioallethrin may stimulate phosphoinositol breakdown in synaptoneuromes as other type I pyrethroids have been observed to do so [4]. Other type I pyrethoids have also been found to bind to kainate receptors [5]. "
Gabapentin enacarbil,DB08872,"approved, investigational",https://www.drugbank.ca/drugs/DB08872,"Gabapentin, an analog of GABA, is used as an anticonvulsant to treat partial seizures, amyotrophic lateral sclerosis (ALS), and painful neuropathies. Potential uses include monotherapy of refractory partial seizure disorders, and treatment of spasticity in multiple sclerosis, tremor. mood disorders, and attenuation of disruptive behaviors in dementia. Gabapentin has high lipid solubility, is not metabolized by the liver, has no protein binding, and doesn't possess the usual drug interactions."
Felodipine,DB01023,"approved, investigational",https://www.drugbank.ca/drugs/DB01023,"Since gabapentin enacarbil is a prodrug of gabapentin, it's physiological effects are the same as gabapentin. Concerning PHN, gabapentin prevents allodynia and hyperalgesia."
Isradipine,DB00270,"approved, investigational",https://www.drugbank.ca/drugs/DB00270,"Felodipine belongs to the dihydropyridine (DHP) class of calcium channel blockers (CCBs), the most widely used class of CCBs. There are at least five different types of calcium channels in Homo sapiens: L-, N-, P/Q-, R- and T-type. It was widely accepted that CCBs target L-type calcium channels, the major channel in muscle cells that mediates contraction; however, some studies have shown that felodipine also binds to and inhibits T-type calcium channels. T-type calcium channels are most commonly found on neurons, cells with pacemaker activity and on osteocytes. The pharmacologic significance of T-type calcium channel blockade is unknown. Felodipine also binds to calmodulin and inhibits calmodulin-dependent calcium release from the sarcoplasmic reticulum. The effect of this interaction appears to be minor. Another study demonstrated that felodipine attenuates the activity of calmodulin-dependent cyclic nucleotide phosphodiesterase (CaMPDE) by binding to the PDE-1B1 and PDE-1A2 enzyme subunits. CaMPDE is one of the key enzymes involved in cyclic nucleotides and calcium second messenger systems. Felodipine also acts as an antagonist to the mineralcorticoid receptor by competing with aldosterone for binding and blocking aldosterone-induced coactivator recruitment of the mineralcorticoid receptor. Felodipine is able to bind to skeletal and cardiac muscle isoforms of troponin C, one of the key regulatory proteins in muscle contraction. Though felodipine exhibits binding to many endogenous molecules, its vasodilatory effects are still thought to be brought about primarily through inhibition of voltage-gated L-type calcium channels. Similar to other DHP CCBs, felodipine binds directly to inactive calcium channels stabilizing their inactive conformation. Since arterial smooth muscle depolarizations are longer in duration than cardiac muscle depolarizations, inactive channels are more prevalent in smooth muscle cells. Alternative splicing of the alpha-1 subunit of the channel gives felodipine additional arterial selectivity. At therapeutic sub-toxic concentrations, felodipine has little effect on cardiac myocytes and conduction cells."
Nitrendipine,DB01054,"approved, investigational",https://www.drugbank.ca/drugs/DB01054,"Isradipine decreases arterial smooth muscle contractility and subsequent vasoconstriction by inhibiting the influx of calcium ions through L-type calcium channels. Calcium ions entering the cell through these channels bind to calmodulin. Calcium-bound calmodulin then binds to and activates myosin light chain kinase (MLCK). Activated MLCK catalyzes the phosphorylation of the regulatory light chain subunit of myosin, a key step in muscle contraction. Signal amplification is achieved by calcium-induced calcium release from the sarcoplasmic reticulum through ryanodine receptors. Inhibition of the initial influx of calcium decreases the contractile activity of arterial smooth muscle cells and results in vasodilation. The vasodilatory effects of isradipine result in an overall decrease in blood pressure. "
Amiodarone,DB01118,"approved, investigational",https://www.drugbank.ca/drugs/DB01118,"By deforming the channel, inhibiting ion-control gating mechanisms, and/or interfering with the release of calcium from the sarcoplasmic reticulum, Nitrendipine inhibits the influx of extracellular calcium across the myocardial and vascular smooth muscle cell membranes The decrease in intracellular calcium inhibits the contractile processes of the myocardial smooth muscle cells, causing dilation of the coronary and systemic arteries, increased oxygen delivery to the myocardial tissue, decreased total peripheral resistance, decreased systemic blood pressure, and decreased afterload."
Bepridil,DB01244,"approved, withdrawn",https://www.drugbank.ca/drugs/DB01244,"Amiodarone belongs to a class of drugs called Vaughan-Williams Class III antiarrhythmic agents. It is used in the treatment of a wide range of cardiac tachyarhthmias, including both ventricular and supraventricular (atrial) arrhythmias. After intravenous administration in man, amiodarone relaxes vascular smooth muscle, reduces peripheral vascular resistance (afterload), and slightly increases cardiac index. Amiodarone prolongs phase 3 of the cardiac action potential. It has numerous other effects however, including actions that are similar to those of antiarrhythmic classes Ia, II, and IV. Amiodarone shows beta blocker-like and calcium channel blocker-like actions on the SA and AV nodes, increases the refractory period via sodium- and potassium-channel effects, and slows intra-cardiac conduction of the cardiac action potential, via sodium-channel effects."
Ibutilide,DB00308,approved,https://www.drugbank.ca/drugs/DB00308,"Bepridil has inhibitory effects on both the slow calcium (L-type) and fast sodium inward currents in myocardial and vascular smooth muscle, interferes with calcium binding to calmodulin, and blocks both voltage and receptor operated calcium channels. Bepridil inhibits the transmembrane influx of calcium ions into cardiac and vascular smooth muscle. This has been demonstrated in isolated myocardial and vascular smooth muscle preparations in which both the slope of the calcium dose response curve and the maximum calcium-induced inotropic response were significantly reduced by bepridil. In cardiac myocytes in vitro, bepridil was shown to be tightly bound to actin. Bepridil regularly reduces heart rate and arterial pressure at rest and at a given level of exercise by dilating peripheral arterioles and reducing total peripheral resistance (afterload) against which the heart works."
